Material_Key,Product_Name,Product_Type,Polyol_Component,Isocyanate_Component,Application_Type,Blowing_Agent,Polyol_Viscosity_cP,Polyol_Specific_Gravity,Isocyanate_Viscosity_cP,Isocyanate_Specific_Gravity,Viscosity_Reference_Temp_C,Flow_Index,Activation_Energy_J_mol,Mix_Ratio_Weight_Polyol,Mix_Ratio_Weight_Iso,Mix_Ratio_Volume_Polyol,Mix_Ratio_Volume_Iso,Polyol_Temp_C,Iso_Temp_C,Mold_Substrate_Temp_C_Min,Mold_Substrate_Temp_C_Max,Cream_Time_s_Min,Cream_Time_s_Max,Gel_Time_s_Min,Gel_Time_s_Max,Tack_Free_Time_s_Min,Tack_Free_Time_s_Max,Free_Rise_Density_kg_m3_Min,Free_Rise_Density_kg_m3_Max,Molded_Density_kg_m3_Min,Molded_Density_kg_m3_Max,Overall_Applied_Density_kg_m3,Dim_Stability_24h_Minus20C_Max_Percent,Dim_Stability_24h_Plus80C_Max_Percent,Dim_Stability_48h_Minus25C_Max_Percent,Dim_Stability_48h_Plus70C_Max_Percent,Compressive_Strength_Parallel_kPa_Min,Compressive_Strength_Perpendicular_kPa_Min,Closed_Cell_Content_Percent_Min,Initial_K_Factor_W_mK_Min,Initial_K_Factor_W_mK_Max,Declared_Lambda_80mm_W_mK,Declared_Lambda_120mm_W_mK,Fire_Rating_EN13501,Polyol_Storage_Temp_C_Min,Polyol_Storage_Temp_C_Max,Iso_Storage_Temp_C_Min,Iso_Storage_Temp_C_Max,Polyol_Shelf_Life_Months,Iso_Shelf_Life_Months,CE_Marked,DoP_Number,Standard,GWP,ODP,PFAS_Free,Substrate_Humidity_Porous_Max,Substrate_Humidity_Nonporous,Layer_Thickness_cm_Min,Layer_Thickness_cm_Max,Notes
genfoam_hd12,Genfoam HD12,High Density Pour/Mold,Genfoam HD12 Polyol,Genfoam Isocyanate,Pour-in-place and molded foam,Water-blown,900-1050,1.07,200±20,1.23,25,0.85,25000,90,100,,,22-25,22-25,,,50,60,130,140,,,195,215,350,550,,1,1,,,,,,,,,,,15,25,15,25,6,6,No,,,No,No,,,,,,"High and low pressure machines, very high applied density, re-mix polyol after 3 months"
genfoam_hd20,Genfoam HD20,High Density Pour/Mold,Genfoam HD20 Polyol,Genfoam Isocyanate,Pour-in-place and molded foam,Water-blown,900-1050,1.07,200±20,1.23,25,0.83,26000,90,100,,,22-25,22-25,,,50,60,130,140,,,290,315,400,600,,1,1,,,,,,,,,,,15,25,15,25,6,6,No,,,No,No,,,,,,"High and low pressure machines, very high applied density, re-mix polyol after 3 months"
ecomate_spray,Ecomate Spray EC,Spray Foam,Ecomate Spray EC Polyol,Ecomate Spray Isocyanate,Spray foam - continuous coatings,ecomate®,350±50,1.12,200±20,1.23,25,0.88,24000,100,110,100,100,25-30,25-30,5,40,8,12,18,26,18,26,28.8,32.0,,,40±4,,,,,200,,90,0.019,0.022,0.027,0.026,E (d0),10,25,10,25,3,6,Yes,CPR-DE-7538-001/24,EN 14315-1:2013,No,No,Yes,≤20%,No condensation,1,2.5,"Good adhesion to concrete/brick/wood/steel/aluminum/fiberglass, evaluate adhesion on samples first, closed cells, high thermal resistance"
ecofoam_xhd_rc,Ecofoam XHD RC,Extra High Density Panel/Cavity Fill,Ecofoam XHD RC Polyol,Ecofoam Isocyanate,Insulating panels and cavity filling - discontinuous,ecomate®,850±50,1.12,200±20,1.23,25,0.82,28000,100,110,,,22-25,22-25,35,45,8,12,28,32,,,40.0,45.0,,,,,,0.5,1.0,414,275,95,0.019,0.022,,,E,10,25,10,25,6,6,No,,,No,No,Yes,,,,,Yellowish to brown polyol appearance; verify substrate conditions to avoid heat sink effect
